Length	GC
ENSGALG00000000573	3734	0.46411355115158
ENSGALG00000000576	1619	0.643607164916615
ENSGALG00000000577	3252	0.476014760147601
ENSGALG00000000579	685	0.554744525547445
ENSGALG00000000581	4265	0.485111371629543
ENSGALG00000000583	2456	0.611970684039088
ENSGALG00000000584	8362	0.616479311169577
ENSGALG00000000585	910	0.581318681318681
ENSGALG00000000587	5937	0.590870810173488
ENSGALG00000000589	1874	0.573105656350053
ENSGALG00000000593	775	0.534193548387097
ENSGALG00000000596	3986	0.446813848469644
ENSGALG00000000597	4143	0.527395607048033
ENSGALG00000000599	848	0.615566037735849
ENSGALG00000000600	2360	0.568220338983051
ENSGALG00000000603	2915	0.596912521440823
ENSGALG00000000604	615	0.567479674796748
ENSGALG00000000606	1111	0.532853285328533
ENSGALG00000000607	2019	0.633481921743437
ENSGALG00000000608	3545	0.612693935119887
ENSGALG00000000610	4806	0.512068248023304
ENSGALG00000000611	3321	0.488105992171033
ENSGALG00000000613	3454	0.518239722061378
ENSGALG00000000615	1589	0.551290119572058
ENSGALG00000000616	2525	0.586930693069307
ENSGALG00000000618	1572	0.515903307888041
ENSGALG00000000619	2965	0.575716694772344
ENSGALG00000000620	667	0.572713643178411
ENSGALG00000000621	3222	0.657355679702048
ENSGALG00000000623	6104	0.605013106159895
ENSGALG00000000624	1809	0.608070757324489
ENSGALG00000000625	1355	0.564575645756458
ENSGALG00000000627	1994	0.543630892678034
ENSGALG00000000628	9812	0.588361190379128
ENSGALG00000000629	607	0.518945634266886
ENSGALG00000000630	1647	0.647237401335762
ENSGALG00000000632	958	0.562630480167015
ENSGALG00000000634	4350	0.552183908045977
ENSGALG00000000636	1635	0.458103975535168
ENSGALG00000000637	2364	0.594331641285956
ENSGALG00000000638	2184	0.644230769230769
ENSGALG00000000639	2091	0.609756097560976
ENSGALG00000000641	1857	0.667743672590199
ENSGALG00000000642	2133	0.631504922644163
ENSGALG00000000643	2099	0.522153406383992
ENSGALG00000000644	8652	0.515141007859454
ENSGALG00000000645	2403	0.673325010403662
ENSGALG00000000650	784	0.605867346938776
ENSGALG00000000652	1821	0.622734761120264
ENSGALG00000000653	3962	0.559565875820293
ENSGALG00000000654	813	0.573185731857319
ENSGALG00000000656	777	0.579150579150579
ENSGALG00000000657	2919	0.493662213086674
ENSGALG00000000660	1146	0.506980802792321
ENSGALG00000000667	2754	0.519607843137255
ENSGALG00000000668	2548	0.511773940345369
ENSGALG00000000669	1599	0.618511569731082
ENSGALG00000000670	3047	0.524450278962914
ENSGALG00000000671	5320	0.466165413533835
ENSGALG00000000672	2160	0.58287037037037
ENSGALG00000000673	6675	0.595655430711611
ENSGALG00000000674	3205	0.554446177847114
ENSGALG00000000675	4118	0.601991257892181
ENSGALG00000000678	1889	0.512969825304394
ENSGALG00000000680	2400	0.621666666666667
ENSGALG00000000681	6148	0.448275862068966
ENSGALG00000000684	2325	0.59741935483871
ENSGALG00000000685	4549	0.551549791162893
ENSGALG00000000687	5244	0.416285278413425
ENSGALG00000000690	2652	0.504901960784314
ENSGALG00000000692	1422	0.582981715893108
ENSGALG00000000693	1641	0.647775746496039
ENSGALG00000000694	4271	0.619058768438305
ENSGALG00000000695	1533	0.564905414220483
ENSGALG00000000699	3980	0.591206030150754
ENSGALG00000000701	5556	0.458783297336213
ENSGALG00000000703	6205	0.565995165189363
ENSGALG00000000706	2592	0.564429012345679
ENSGALG00000000707	1264	0.504746835443038
ENSGALG00000000708	869	0.456846950517837
ENSGALG00000000710	6100	0.594098360655738
ENSGALG00000000712	618	0.55663430420712
ENSGALG00000000713	10893	0.551546864959148
ENSGALG00000000719	416	0.555288461538462
ENSGALG00000000720	3503	0.59834427633457
ENSGALG00000000721	4687	0.534243652656283
ENSGALG00000000722	1638	0.562271062271062
ENSGALG00000000723	2228	0.43491921005386
ENSGALG00000000724	3138	0.467176545570427
ENSGALG00000000725	3828	0.481974921630094
ENSGALG00000000726	1957	0.459376596831886
ENSGALG00000000729	3389	0.424018884626734
ENSGALG00000000730	6977	0.54378672781998
ENSGALG00000000731	2110	0.635545023696682
ENSGALG00000000733	6788	0.503241013553329
ENSGALG00000000734	1377	0.485112563543936
ENSGALG00000000735	893	0.615901455767077
ENSGALG00000000736	1428	0.63375350140056
ENSGALG00000000737	2395	0.54070981210856
ENSGALG00000000739	1618	0.672435105067985
ENSGALG00000000740	2350	0.626382978723404
ENSGALG00000000742	2013	0.561847988077496
ENSGALG00000000745	2423	0.51465125877012
ENSGALG00000000747	5922	0.535629854778791
ENSGALG00000000748	3728	0.642972103004292
ENSGALG00000000750	6122	0.500816726559948
ENSGALG00000000751	2781	0.591513843941028
ENSGALG00000000753	3055	0.556464811783961
ENSGALG00000000755	2032	0.391240157480315
ENSGALG00000000761	1059	0.475920679886686
ENSGALG00000000764	926	0.561555075593952
ENSGALG00000000766	1280	0.46015625
ENSGALG00000000769	1282	0.560842433697348
ENSGALG00000000771	2788	0.407819225251076
ENSGALG00000000774	3090	0.60453074433657
ENSGALG00000000775	1483	0.598786244099798
ENSGALG00000000776	3597	0.537948290241868
ENSGALG00000000777	2777	0.459848757652143
ENSGALG00000000779	5823	0.476215009445303
ENSGALG00000000780	6961	0.410429535986209
ENSGALG00000000781	1557	0.591522157996146
ENSGALG00000000783	1059	0.466477809254013
ENSGALG00000000784	2037	0.543937162493863
ENSGALG00000000785	1640	0.633536585365854
ENSGALG00000000786	1218	0.613300492610837
ENSGALG00000000787	4140	0.551690821256039
ENSGALG00000000788	1612	0.649503722084367
ENSGALG00000000789	1047	0.586437440305635
ENSGALG00000000790	1423	0.42937456078707
ENSGALG00000000791	1901	0.430825881115203
ENSGALG00000000793	1205	0.64896265560166
ENSGALG00000000794	2939	0.596801633208574
ENSGALG00000000795	1847	0.614510016242556
ENSGALG00000000800	2208	0.452898550724638
ENSGALG00000000802	1808	0.616703539823009
ENSGALG00000000803	1021	0.547502448579824
ENSGALG00000000804	1225	0.572244897959184
ENSGALG00000000806	2136	0.599719101123595
ENSGALG00000000807	216	0.675925925925926
ENSGALG00000000808	3331	0.470129090363254
ENSGALG00000000810	1299	0.628175519630485
ENSGALG00000000811	2405	0.506444906444906
ENSGALG00000000812	1607	0.430616054760423
ENSGALG00000000814	2769	0.44131455399061
ENSGALG00000000816	3225	0.510387596899225
ENSGALG00000000817	1737	0.533678756476684
ENSGALG00000000818	2013	0.415300546448087
ENSGALG00000000819	781	0.608194622279129
ENSGALG00000000820	1137	0.443271767810026
ENSGALG00000000823	4145	0.518214716525935
ENSGALG00000000824	1261	0.573354480570975
ENSGALG00000000826	1098	0.489981785063752
ENSGALG00000000830	3924	0.481141692150866
ENSGALG00000000833	1942	0.53913491246138
ENSGALG00000000834	3518	0.507674815235929
ENSGALG00000000835	2629	0.573602130087486
ENSGALG00000000836	810	0.627160493827161
ENSGALG00000000837	1402	0.49358059914408
ENSGALG00000000838	2682	0.457867263236391
ENSGALG00000000839	1837	0.47468698965705
ENSGALG00000000840	5356	0.481702763256161
ENSGALG00000000842	404	0.571782178217822
ENSGALG00000000843	5590	0.502683363148479
ENSGALG00000000844	3186	0.408976773383553
ENSGALG00000000845	2430	0.502880658436214
ENSGALG00000000846	1560	0.617307692307692
ENSGALG00000000847	4263	0.423176167018532
ENSGALG00000000848	3648	0.461622807017544
ENSGALG00000000850	2403	0.648772367873491
ENSGALG00000000852	4564	0.595530236634531
ENSGALG00000000853	1449	0.443064182194617
ENSGALG00000000855	2700	0.426296296296296
ENSGALG00000000856	4093	0.469582213535304
ENSGALG00000000857	1717	0.560279557367501
ENSGALG00000000860	1652	0.419491525423729
ENSGALG00000000862	5706	0.437259025587101
ENSGALG00000000863	1905	0.459317585301837
ENSGALG00000000864	3328	0.410757211538462
ENSGALG00000000865	1810	0.590055248618785
ENSGALG00000000866	1957	0.530914665304037
ENSGALG00000000868	1194	0.579564489112228
ENSGALG00000000869	1654	0.628778718258767
ENSGALG00000000870	705	0.619858156028369
ENSGALG00000000871	1376	0.601017441860465
ENSGALG00000000874	1280	0.6
ENSGALG00000000875	5241	0.506201106659035
ENSGALG00000000878	3136	0.619897959183674
ENSGALG00000000880	698	0.57163323782235
ENSGALG00000000881	1704	0.568075117370892
ENSGALG00000000882	1863	0.5276435856146
ENSGALG00000000883	5058	0.537959667852906
ENSGALG00000000884	2667	0.482189726284214
ENSGALG00000000886	1412	0.514164305949009
ENSGALG00000000887	2023	0.518042511122096
ENSGALG00000000889	1985	0.532997481108312
ENSGALG00000000890	2546	0.513747054202671
ENSGALG00000000891	1413	0.6206652512385
ENSGALG00000000892	583	0.55917667238422
ENSGALG00000000893	1961	0.519122896481387
ENSGALG00000000894	2197	0.516158397815203
ENSGALG00000000895	2121	0.496935407826497
ENSGALG00000000897	1657	0.604707302353651
ENSGALG00000000898	1152	0.521701388888889
ENSGALG00000000899	5739	0.513155602021258
ENSGALG00000000900	431	0.626450116009281
ENSGALG00000000901	1137	0.480211081794195
ENSGALG00000000902	1338	0.554559043348281
ENSGALG00000000903	1230	0.548780487804878
ENSGALG00000000904	832	0.570913461538462
ENSGALG00000000905	1135	0.563876651982379
ENSGALG00000000906	1749	0.431103487707261
ENSGALG00000000907	2176	0.494485294117647
ENSGALG00000000908	2835	0.469488536155203
ENSGALG00000000909	2371	0.617882749894559
ENSGALG00000000911	743	0.515477792732167
ENSGALG00000000912	1146	0.605584642233857
ENSGALG00000000913	1627	0.429010448678549
ENSGALG00000000914	1245	0.620883534136546
ENSGALG00000000915	1257	0.575178997613365
ENSGALG00000000917	2218	0.563570784490532
ENSGALG00000000918	850	0.581176470588235
ENSGALG00000000919	3909	0.536965975952929
ENSGALG00000000920	3830	0.655352480417755
ENSGALG00000000921	6552	0.613095238095238
ENSGALG00000000927	5611	0.361611121012297
ENSGALG00000000930	3886	0.606536284096758
ENSGALG00000000934	1829	0.411700382722799
ENSGALG00000000935	2218	0.582506762849414
ENSGALG00000000936	1385	0.487364620938628
ENSGALG00000000939	4687	0.624493279283123
ENSGALG00000000940	838	0.690930787589499
ENSGALG00000000943	2839	0.541387812610074
ENSGALG00000000944	725	0.573793103448276
ENSGALG00000000946	515	0.543689320388349
ENSGALG00000000947	3678	0.55573681348559
ENSGALG00000000949	816	0.590686274509804
ENSGALG00000000950	5495	0.504276615104641
ENSGALG00000000951	909	0.495049504950495
ENSGALG00000000953	1909	0.55945521215296
ENSGALG00000000954	926	0.596112311015119
ENSGALG00000000955	3322	0.614990969295605
ENSGALG00000000956	1044	0.551724137931034
ENSGALG00000000957	1188	0.658249158249158
ENSGALG00000000958	2108	0.539848197343453
ENSGALG00000000959	2153	0.536925220622387
ENSGALG00000000962	1741	0.599080987937967
ENSGALG00000000966	4748	0.625526537489469
ENSGALG00000000970	1798	0.639599555061179
ENSGALG00000000972	1664	0.483173076923077
ENSGALG00000000974	2391	0.493935591802593
ENSGALG00000000975	2058	0.406219630709427
ENSGALG00000000976	924	0.402597402597403
ENSGALG00000000977	1771	0.491812535290796
ENSGALG00000000978	2867	0.445413324032089
ENSGALG00000000979	2450	0.487755102040816
ENSGALG00000000980	2778	0.586393088552916
ENSGALG00000000981	3539	0.561175473297542
ENSGALG00000000982	5624	0.522581792318634
ENSGALG00000000983	2559	0.51895271590465
ENSGALG00000000984	831	0.477737665463297
ENSGALG00000000988	4906	0.57501019160212
ENSGALG00000000990	1254	0.456140350877193
ENSGALG00000000991	1069	0.493919550982226
ENSGALG00000000993	6011	0.427383130926634
ENSGALG00000000994	636	0.665094339622642
ENSGALG00000000996	5390	0.49239332096475
ENSGALG00000000997	1940	0.503092783505155
ENSGALG00000000998	1210	0.448760330578512
ENSGALG00000000999	3565	0.625245441795231
ENSGALG00000001000	2324	0.467297762478485
ENSGALG00000001001	4441	0.474893042107633
ENSGALG00000001002	1146	0.56108202443281
ENSGALG00000001003	1906	0.506295907660021
ENSGALG00000001004	2664	0.498123123123123
ENSGALG00000001005	2573	0.54450058297707
ENSGALG00000001006	2659	0.536291839037232
ENSGALG00000001007	2122	0.639962299717248
ENSGALG00000001009	2604	0.694700460829493
ENSGALG00000001011	3765	0.599734395750332
ENSGALG00000001013	1381	0.530050687907314
ENSGALG00000001014	867	0.439446366782007
ENSGALG00000001017	1770	0.425423728813559
ENSGALG00000001018	2312	0.540657439446367
ENSGALG00000001019	892	0.623318385650224
ENSGALG00000001020	3491	0.628759667716987
ENSGALG00000001021	4826	0.534604227103191
ENSGALG00000001022	1913	0.511238891792995
ENSGALG00000001023	6748	0.510373443983402
ENSGALG00000001024	2502	0.472022382094325
ENSGALG00000001025	2758	0.428934010152284
ENSGALG00000001026	6974	0.524519644393461
ENSGALG00000001027	2700	0.441481481481481
ENSGALG00000001028	2148	0.63268156424581
ENSGALG00000001030	1367	0.562545720555962
ENSGALG00000001031	2139	0.556802244039271
ENSGALG00000001032	1896	0.614451476793249
ENSGALG00000001033	1556	0.69280205655527
ENSGALG00000001034	926	0.443844492440605
ENSGALG00000001035	1435	0.606271777003484
ENSGALG00000001036	4257	0.511158092553441
ENSGALG00000001037	2691	0.41025641025641
ENSGALG00000001038	1677	0.547406082289803
ENSGALG00000001039	765	0.464052287581699
ENSGALG00000001040	4521	0.656491926564919
ENSGALG00000001041	2515	0.553081510934394
ENSGALG00000001042	3521	0.554955978415223
ENSGALG00000001043	3752	0.505863539445629
ENSGALG00000001045	3334	0.574085182963407
ENSGALG00000001046	3083	0.539409665909828
ENSGALG00000001048	2950	0.634915254237288
ENSGALG00000001049	1086	0.496316758747698
ENSGALG00000001051	2819	0.45264278112806
ENSGALG00000001053	3085	0.524473257698541
ENSGALG00000001054	2203	0.455288243304585
ENSGALG00000001055	3706	0.44738262277388
ENSGALG00000001056	1298	0.627118644067797
ENSGALG00000001058	3161	0.583676051882316
ENSGALG00000001062	5153	0.488647389869979
ENSGALG00000001063	8110	0.522318125770654
ENSGALG00000001064	2557	0.467344544387955
ENSGALG00000001065	3896	0.478696098562628
ENSGALG00000001067	1914	0.455590386624869
ENSGALG00000001069	1316	0.556990881458967
ENSGALG00000001070	1569	0.534735500318674
ENSGALG00000001071	2839	0.653399084184572
ENSGALG00000001073	2420	0.528925619834711
ENSGALG00000001076	2789	0.640731444962352
ENSGALG00000001077	1553	0.597553122987766
ENSGALG00000001078	1113	0.540880503144654
ENSGALG00000001079	1322	0.58320726172466
ENSGALG00000001080	3252	0.601783517835178
ENSGALG00000001081	3236	0.430469715698393
ENSGALG00000001082	1211	0.580511973575557
ENSGALG00000001084	3726	0.588030059044552
ENSGALG00000001085	2659	0.583678074464084
ENSGALG00000001091	1692	0.609338061465721
ENSGALG00000001093	2608	0.563266871165644
ENSGALG00000001094	3456	0.516493055555556
ENSGALG00000001095	1676	0.581742243436754
ENSGALG00000001096	457	0.529540481400438
ENSGALG00000001097	1178	0.594227504244482
ENSGALG00000001099	10013	0.500149805253171
ENSGALG00000001100	1640	0.593292682926829
ENSGALG00000001101	2151	0.498372849837285
ENSGALG00000001103	934	0.5
ENSGALG00000001104	3396	0.43698468786808
ENSGALG00000001106	1317	0.651480637813212
ENSGALG00000001107	2278	0.373573309920983
ENSGALG00000001108	1762	0.538024971623156
